date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:32	59085/59085	---M--	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2022:25:52%20GMT	https://labartisan.net/demo/constol/index.html	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/index.html	(from )
13:15:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Sep%202023%2017:15:32%20GMT	https://labartisan.net/robots.txt		(from )
13:15:33	2034/2034	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Nov%202022%2019:36:40%20GMT	https://labartisan.net/demo/constol/assets/css/favicon.png	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/favicon.png	(from https://labartisan.net/demo/constol/index.html)
13:15:34	71756/71756	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202022%2004:21:58%20GMT	https://labartisan.net/demo/constol/assets/css/animate.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/animate.css	(from https://labartisan.net/demo/constol/index.html)
13:15:35	100782/100782	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202022%2007:08:02%20GMT	https://labartisan.net/demo/constol/assets/css/all.min.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/all.min.css	(from https://labartisan.net/demo/constol/index.html)
13:15:35	153402/153402	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Feb%202021%2012:07:06%20GMT	https://labartisan.net/demo/constol/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/bootstrap.min.css	(from https://labartisan.net/demo/constol/index.html)
13:15:36	19778/19778	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2016:35:26%20GMT	https://labartisan.net/demo/constol/assets/css/swiper.min.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/swiper.min.css	(from https://labartisan.net/demo/constol/index.html)
13:15:36	3636/3636	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jan%202022%2009:04:44%20GMT	https://labartisan.net/demo/constol/assets/css/odometer.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/odometer.css	(from https://labartisan.net/demo/constol/index.html)
13:15:36	18642/18642	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Apr%202022%2004:14:32%20GMT	https://labartisan.net/demo/constol/assets/css/lightcase.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/lightcase.css	(from https://labartisan.net/demo/constol/index.html)
13:15:37	94873/94873	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Nov%202022%2022:28:44%20GMT	https://labartisan.net/demo/constol/assets/css/style.css	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/css/style.css	(from https://labartisan.net/demo/constol/index.html)
13:15:37	599/599	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Nov%202022%2017:56:40%20GMT	https://labartisan.net/demo/constol/assets/images/header/icon/01.png	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/images/header/icon/01.png	(from https://labartisan.net/demo/constol/index.html)
13:15:37	610/610	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Nov%202022%2017:56:52%20GMT	https://labartisan.net/demo/constol/assets/images/header/icon/02.png	C:/My%20Web%20Sites/springboard%20f/labartisan.net/demo/constol/assets/images/header/icon/02.png	(from https://labartisan.net/demo/constol/index.html)
